User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type
User_24,Tesla Model 3,100.0,Station_326,New York,2024-01-01 23:00:00,2024-01-01 23:31:00,68.44712632026376,2.0714292092234388,49.71030696901287,38.406061696059425,Morning,Friday,19.23313912730544,74.00615088095063,280.91546822652094,3.580839953900103,5.0,DC Fast Charger,Commuter
User_25,Tesla Model 3,100.0,Station_150,Houston,2024-01-02 00:00:00,2024-01-02 01:55:00,27.60438468247694,0.9571376601264636,11.238538626794043,24.03753468851581,Morning,Wednesday,65.48688658113335,65.35209627449626,173.47152650529225,35.977821918048456,4.0,Level 1,Long-Distance Traveler
User_26,Chevy Bolt,75.0,Station_288,San Francisco,2024-01-02 01:00:00,2024-01-02 03:42:00,40.178003499947216,3.6041735353726154,12.31861479590845,38.76319382514176,Morning,Saturday,80.34408372714871,79.99556313119572,82.75461394014503,21.53684396835515,1.0,DC Fast Charger,Commuter
User_27,Chevy Bolt,75.0,Station_361,Houston,2024-01-02 02:00:00,2024-01-02 02:33:00,43.487751224792326,3.652540335433942,36.182371883723484,27.44831088430594,Afternoon,Thursday,88.74847907153811,87.82402899882813,80.91266512306521,29.872209873061493,0.36121516580305957,Level 1,Commuter
User_28,Nissan Leaf,50.0,Station_340,San Francisco,2024-01-02 03:00:00,2024-01-02 06:13:00,10.338517723856468,1.5477137176963707,45.7767311942711,9.855826892937216,Night,Sunday,98.33279531163319,94.50485176968456,162.6865443608225,5.504758728380647,0.0,Level 1,Long-Distance Traveler
User_29,BMW i3,75.0,Station_129,Los Angeles,2024-01-02 04:00:00,2024-01-02 04:35:00,31.684484586574477,2.4396779381538938,48.64872319079225,25.617103995808733,Afternoon,Friday,34.72763909597674,54.40205038521579,,20.378562310274326,3.0,Level 2,Casual Driver
User_30,BMW i3,75.0,Station_438,Chicago,2024-01-02 05:00:00,2024-01-02 07:58:00,56.59325685914933,3.153257254972797,45.81173100244055,33.13209178024766,Afternoon,Friday,29.207671702279008,85.00810624066354,186.15573210131026,12.333415373869066,0.0,DC Fast Charger,Casual Driver
User_31,Tata Ace EV,145.782134982341,Station_102,Mumbai,2024-01-02 06:15:00,2024-01-02 07:05:00,85.23456781234,0.6421345678,54.789123456,18.45671234,Morning,Wednesday,31.567891234,78.234567891,310.456789123,32.45671234,3.5,DC Fast Charger,Logistics
User_32,Ashok Leyland eTruck,210.3456789123,Station_245,Delhi,2024-01-02 09:30:00,2024-01-02 10:25:00,120.456789123,0.7123456789,72.123456789,25.345678912,Morning,Wednesday,33.123456789,82.567891234,355.123456789,40.12345678,6.0,Ultra Fast Charger,Logistics
User_33,Volvo FL Electric,175.567891234,Station_178,Bangalore,2024-01-02 14:00:00,2024-01-02 15:10:00,98.234567891,0.6891234567,65.234567891,21.987654321,Afternoon,Wednesday,30.987654321,75.345678912,298.567891234,35.567891234,5.0,DC Fast Charger,Delivery
User_34,Eicher Pro 2049 EV,132.456789123,Station_311,Pune,2024-01-02 18:20:00,2024-01-02 19:00:00,78.345678912,0.6234567891,49.876543219,17.234567891,Evening,Wednesday,28.456789123,80.123456789,275.345678912,29.87654321,3.0,AC Fast Charger,Logistics
User_35,Rivian EDV Truck,190.678912345,Station_420,Hyderabad,2024-01-02 22:10:00,2024-01-02 23:05:00,110.567891234,0.7012345678,68.987654321,23.456789123,Night,Wednesday,32.3456
